Key,NIST 800-53,NIST 800-171,NIST CSF,ISO 27001,PCI DSS,HIPAA
adfs$,,,,,,
ansible,,,,,,
apache,,,,,,
beyondtrust,,,,,,
bin,,,,,,
chef,,,,,,
commvault,,,,,,
crowdstrike,,,,,,
cyberark,,,,,,
daemon,,,,,,
datadog,,,,,,
db2inst1,,,,,,
dbsnmp,,,,,,
defender,,,,,,
dynatrace,,,,,,
elasticsearch,,,,,,
exabeam,,,,,,
filebeat,,,,,,
httpd,,,,,,
informix,,,,,,
jboss,,,,,,
kafka,,,,,,
kibana,,,,,,
krbtgt,,,,,,
kube-system,,,,,,
LOCAL SERVICE,,,,,,
mongodb,,,,,,
mssqlsvc,,,,,,
mysql,,,,,,
nagios,,,,,,
nessus,,,,,,
netbackup,,,,,,
NETWORK SERVICE,,,,,,
newrelic,,,,,,
nginx,,,,,,
nobody,,,,,,
nxlog,,,,,,
oracle,,,,,,
postgres,,,,,,
postgres_admin,,,,,,
puppet,,,,,,
qualys,,,,,,
rabbitmq,,,,,,
redis,,,,,,
root,,,,,,
sa,,,,,,
salt,,,,,,
scom,,,,,,
sentinelone,,,,,,
solarwinds,,,,,,
splunk,,,,,,
splunk_forwarder,,,,,,
sqlsvc,,,,,,
ssas,,,,,,
ssis,,,,,,
ssrs,,,,,,
sys,,,,,,
system,,,,,,
SYSTEM,,,,,,
tanium,,,,,,
terraform,,,,,,
tomcat,,,,,,
veeam,,,,,,
weblogic,,,,,,
websphere,,,,,,
wildfly,,,,,,
winlogbeat,,,,,,
zabbix,,,,,,
zookeeper,,,,,,
