Key,NIST 800-53,NIST 800-171,NIST CSF,ISO 27001,PCI DSS,HIPAA
Accounting,,,,,,
admin,,,,,,
administrator,,,,,,
AP,,,,,,
AppAdmin,,,,,,
AR,,,,,,
BackupAdmin,,,,,,
Cashier,,,,,,
CiscoAdmin,,,,,,
Classroom,,,,,,
CloudOps,,,,,,
ConferenceRoom,,,,,,
DBAdmin,,,,,,
Demo,,,,,,
DesktopSupport,,,,,,
DevOps,,,,,,
DomainAdmin,,,,,,
EnterpriseAdmin,,,,,,
ERNurse,,,,,,
ExchangeAdmin,,,,,,
Faculty,,,,,,
Finance,,,,,,
FirewallAdmin,,,,,,
FrontDesk,,,,,,
Guest,,,,,,
HelpDesk,,,,,,
HR,,,,,,
HypereVAdmin,,,,,,
HyperVAdmin,,,,,,
IncidentResponse,,,,,,
IRTeam,,,,,,
ITAdmin,,,,,,
ITSupport,,,,,,
Kiosk,,,,,,
LabTech,,,,,,
LabUser,,,,,,
LobbyPC,,,,,,
MiddlewareAdmin,,,,,,
NetOps,,,,,,
NetworkAdmin,,,,,,
NOC,,,,,,
NOCOperator,,,,,,
NurseStation,,,,,,
Operations,,,,,,
OracleAdmin,,,,,,
Payroll,,,,,,
Pharmacy,,,,,,
PlantOperator,,,,,,
POSUser,,,,,,
Production,,,,,,
Purchasing,,,,,,
Radiology,,,,,,
Receiving,,,,,,
Reception,,,,,,
Register1,,,,,,
Register2,,,,,,
root,,,,,,
RouterAdmin,,,,,,
sa,,,,,,
SecurityOps,,,,,,
ServerAdmin,,,,,,
ServiceDesk,,,,,,
SharePointAdmin,,,,,,
Shipping,,,,,,
SOC,,,,,,
SOCAnalyst,,,,,,
SQLAdmin,,,,,,
StoreManager,,,,,,
Student,,,,,,
SuperUser,,,,,,
Support,,,,,,
SwitchAdmin,,,,,,
SysAdmin,,,,,,
system,,,,,,
TechSupport,,,,,,
Test,,,,,,
Testing,,,,,,
Visitor,,,,,,
VMWareAdmin,,,,,,
VPNAdmin,,,,,,
Warehouse,,,,,,
WebAdmin,,,,,,
WirelessAdmin,,,,,,
