Key,NIST 800-53,NIST 800-171,NIST CSF,ISO 27001,PCI DSS,HIPAA
admin,,,,,,
administrator,,,,,,
DBAdmin,,,,,,
DomainAdmin,,,,,,
EnterpriseAdmin,,,,,,
ExchangeAdmin,,,,,,
FirewallAdmin,,,,,,
HypereVAdmin,,,,,,
HyperVAdmin,,,,,,
ITAdmin,,,,,,
MiddlewareAdmin,,,,,,
NetworkAdmin,,,,,,
OracleAdmin,,,,,,
root,,,,,,
RouterAdmin,,,,,,
sa,,,,,,
ServerAdmin,,,,,,
SharePointAdmin,,,,,,
SQLAdmin,,,,,,
SuperUser,,,,,,
SwitchAdmin,,,,,,
SysAdmin,,,,,,
VMWareAdmin,,,,,,
VPNAdmin,,,,,,
WebAdmin,,,,,,
WirelessAdmin,,,,,,
