key,value
00:0c:29,VMware Inc
00:15:5d,Microsoft Corporation (Hyper‑V)
00:50:56,VMware Inc
08:66:1f,Palo Alto Networks
14:18:77,Dell Inc
20:04:0f,Dell Inc
24:6e:96,Dell Inc
2c:dd:e9,Arista Networks
44:a8:42,Dell Inc
50:6b:8d,Nutanix
54:9f:35,Dell Inc
64:00:6a,Dell Inc
70:85:c2,ASRock Incorporation
78:ac:44,Dell Inc
84:2b:2b,Dell Inc
8c:36:7a,Palo Alto Networks
b4:0c:25,Palo Alto Networks
c8:4b:d6,Dell Inc
d4:be:d9,Dell Inc
ec:2a:72,Dell Inc
f0:1f:af,Dell Inc
